Channel:	8	SampleRate:	1000	Resolution:	24	Notch:	60Hz			
Time	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6	Ch7	Ch8	Event	
18:23:10.5221	    -7.72	   -11.73	   -20.31	     8.01	   154.50	    15.74	    25.75	    18.60	  0
18:23:10.5274	    -6.58	   -10.30	   -19.45	    13.73	   170.80	    19.45	    32.04	    23.46	  0
18:23:10.5274	    -4.86	    -7.44	   -13.73	    19.17	   188.26	    23.17	    37.48	    28.90	  0
18:23:10.5274	    -1.72	    -3.72	    -5.72	    27.47	   217.15	    27.75	    44.06	    35.76	  0
18:23:10.5274	     2.29	     0.29	     2.86	    33.76	   245.76	    32.33	    49.21	    41.20	  0
18:23:10.5304	     6.01	     4.29	     8.58	    37.19	   262.93	    36.62	    52.07	    45.20	  0
18:23:10.5304	     8.58	     6.87	     8.30	    37.48	   260.93	    40.05	    53.22	    47.49	  0
18:23:10.5473	    10.30	     8.87	     7.15	    37.48	   246.05	    43.20	    52.93	    48.07	  0
18:23:10.5473	    10.87	     8.87	    10.01	    34.05	   228.88	    44.06	    52.07	    48.07	  0
18:23:10.5513	    10.59	     8.87	    15.45	    31.47	   212.57	    44.63	    50.93	    48.64	  0
18:23:10.5513	    10.01	     8.87	    16.31	    26.61	   193.69	    44.92	    47.78	    46.06	  0
18:23:10.5513	     8.01	     7.44	     8.01	    16.31	   184.54	    43.77	    43.49	    42.63	  0
18:23:10.5513	     8.87	     8.01	     3.43	     9.16	   184.54	    45.49	    44.35	    44.35	  0
18:23:10.5530	     9.44	     8.30	     8.30	    18.02	   187.40	    46.63	    53.79	    49.78	  0
18:23:10.5530	     9.73	     8.58	     6.01	    20.03	   188.54	    46.35	    52.93	    49.21	  0
18:23:10.5530	     9.16	     7.72	     4.01	    10.01	   201.70	    45.20	    49.50	    47.49	  0
18:23:10.5530	     7.15	     5.72	     1.43	     1.14	   216.87	    42.92	    48.64	    47.49	  0
18:23:10.5581	     5.15	     4.01	     0.00	    -6.29	   220.58	    40.05	    45.49	    45.20	  0
18:23:10.5581	     6.01	     4.01	     6.58	    -4.58	   226.88	    38.34	    44.06	    43.49	  0
18:23:10.5581	     6.87	     4.86	    15.45	     2.00	   229.74	    37.19	    47.21	    44.63	  0
18:23:10.5581	     6.29	     4.86	    20.03	     5.72	   223.45	    34.33	    47.49	    43.20	  0
18:23:10.5639	     3.15	     2.57	    21.46	     5.44	   214.58	    28.04	    40.34	    35.48	  0
18:23:10.5639	    -1.43	    -1.43	    22.03	    -1.43	   201.99	    19.74	    30.04	    27.75	  0
18:23:10.5639	    -7.15	    -7.15	    20.89	   -11.73	   199.13	    10.30	    20.03	    18.60	  0
18:23:10.6005	   -11.44	   -11.16	    17.45	   -21.74	   203.70	     2.29	    12.02	    11.16	  0
18:23:10.6058	  -590.80	 -1317.22	   906.09	  -714.40	  -165.08	    54.93	   -18.60	   342.18	  0
18:23:10.6068	  -123.88	  1635.93	   631.43	  -549.60	 -1264.00	  1469.71	    -4.86	    87.83	  0
18:23:10.6807	   123.02	 -1248.55	  -494.67	  -220.01	  1332.09	  1153.57	  -210.86	   -86.12	  0
18:23:10.6817	    81.83	 -1124.95	   549.03	   823.69	    68.09	  1057.43	  -197.12	    79.54	  0
18:23:10.6868	  -673.20	 -1509.48	   823.69	 -1236.53	  -329.88	 -1126.10	  -183.39	   254.63	  0
18:23:10.6868	  1744.08	 -1688.00	   768.76	  -233.75	 -1140.40	   494.38	  -169.66	   627.71	  0
18:23:10.6868	  1469.42	  -946.43	  -673.20	  -233.75	   274.37	  -686.65	  -155.93	   524.43	  0
18:23:10.6868	 -1318.93	   852.59	   109.58	  1057.15	  1249.41	   439.45	  -142.19	  1177.03	  0
18:23:10.6929	   507.83	   454.33	   988.48	 -1373.86	  -247.48	 -1483.44	  -128.46	 -1581.00	  0
18:23:10.6929	   -27.75	  1401.90	  -343.61	  1373.29	   919.82	   810.24	  -114.73	 -1459.98	  0
18:23:10.6929	  -549.60	  1415.92	  1208.50	 -1291.18	 -1566.12	  1716.90	  -100.99	 -1384.16	  0
18:23:10.6929	  1002.50	  -314.71	  -480.94	  -535.87	   260.64	  -192.26	   -87.26	  -738.14	  0
18:23:10.6983	   -96.13	  -905.23	  1235.96	 -1662.26	  1153.57	  -878.91	   -73.53	  -249.20	  0
18:23:10.6983	   137.04	   371.65	  1716.61	  -728.13	   -27.47	   274.66	   -59.80	   -44.35	  0
18:23:10.6993	   549.03	  1484.30	   796.22	   947.57	  -178.53	  -645.45	   -46.06	   301.27	  0
18:23:10.6993	  -645.73	  -520.71	    82.11	   164.51	  1744.08	  -398.25	   -32.33	   184.54	  0
18:23:10.7046	  1455.69	   193.41	   727.56	  1538.09	  -261.21	  -425.72	   -18.60	   145.05	  0
18:23:10.7046	 -1249.98	   509.26	  1290.89	 -1359.84	  -371.07	 -1098.63	    -4.86	   682.07	  0
18:23:10.7046	  1648.24	  1360.99	   713.83	  1098.63	  1208.50	   -68.66	  -210.86	 -1639.94	  0
